Q-33,486-300 R,6045,6378,0,3283,4185,0,486,80,0,104,252,50,300,50,0,74,176,0
Q-34,178-40 R,6640,61,0,7416,4399,0,178,20,0,48,110,0,40,20,0,0,20,0
Q-35,254-284 B,7055,7314,0,8645,7690,0,254,50,0,74,120,10,284,100,0,86,98,0
Q-36,292-246 R,4347,3305,0,4999,5910,0,292,0,0,66,226,0,246,40,0,0,206,0
Q-37,158-258 B,4149,5484,0,4077,4856,0,158,20,0,88,50,0,258,140,0,18,100,0
Q-38,60-80 B,7222,7273,0,3113,9242,0,60,20,0,0,40,0,80,20,0,0,60,0
Q-39,70-78 B,5421,8468,0,8068,6328,0,70,50,0,0,20,0,78,50,0,18,10,0
Q-40,188-408 B,2821,7056,0,7423,6964,0,188,50,0,12,126,0,408,20,0,156,232,0
SF-1-1,423-254 R,4347,6378,8645,7314,4856,7055,423,50,0,91,282,0,254,80,0,114,60,0
SF-1-2,302-104 R,4347,6378,8645,7314,4856,7055,302,50,0,18,184,50,104,80,0,24,0,0
SF-2-1,122-382 B,8068,4185,6328,6045,4399,61,122,100,0,12,10,0,382,80,0,60,242,0
SF-2-2,57-302 B,8068,4185,6328,6045,4399,61,57,20,0,27,10,0,302,50,0,80,122,50
F-1,804-223 R,4347,6378,8645,6045,4399,61,804,50,0,66,288,400,223,50,0,123,40,10
F-2,392-237 R,4347,6378,8645,6045,4399,61,392,20,0,90,282,0,237,50,0,97,90,0
